datetime,portfolio_value,cash,return
2020-01-02 09:30:00-05:00,100000.0,100000.0,
2020-01-02 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-03 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-06 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-07 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-08 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-09 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-10 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-13 21:30:00-05:00,100000.0,100000.0,0.0
2020-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-14 21:30:00-05:00,100000.0,49998.05385971069,0.0
2020-01-15 09:30:00-05:00,99506.49451828003,49998.05385971069,-0.004935054817199691
2020-01-15 21:30:00-05:00,99506.49451828003,24996.043537139893,0.0
2020-01-16 09:30:00-05:00,99485.44561004639,24996.043537139893,-0.00021153300933318686
2020-01-16 21:30:00-05:00,99485.44561004639,12498.569860458374,0.0
2020-01-17 09:30:00-05:00,100180.72244930267,12498.569860458374,0.006988729205491762
2020-01-17 21:30:00-05:00,100180.72244930267,6249.827532291412,0.0
2020-01-21 09:30:00-05:00,99469.75479888916,6249.827532291412,-0.007096850901362806
2020-01-21 21:30:00-05:00,99469.75479888916,6249.827532291412,0.0
2020-01-22 09:30:00-05:00,100203.29490089417,6249.827532291412,0.007374503973475166
2020-01-22 21:30:00-05:00,100203.29490089417,6249.827532291412,0.0
2020-01-23 09:30:00-05:00,100940.6018614769,6249.827532291412,0.007358110941481089
2020-01-23 21:30:00-05:00,100940.6018614769,6249.827532291412,0.0
2020-01-24 09:30:00-05:00,103114.89003229141,6249.827532291412,0.021540273494687012
2020-01-24 21:30:00-05:00,103114.89003229141,6249.827532291412,0.0
2020-01-27 09:30:00-05:00,95312.49137661458,95312.49137661458,-0.07566704142567038
2020-01-27 21:30:00-05:00,95312.49137661458,95312.49137661458,0.0
2020-01-28 09:30:00-05:00,95312.49137661458,95312.49137661458,0.0
2020-01-28 21:30:00-05:00,95312.49137661458,95312.49137661458,0.0
2020-01-29 09:30:00-05:00,95312.49137661458,95312.49137661458,0.0
2020-01-29 21:30:00-05:00,95312.49137661458,95312.49137661458,0.0
2020-01-30 09:30:00-05:00,95312.49137661458,95312.49137661458,0.0
2020-01-30 21:30:00-05:00,95312.49137661458,95312.49137661458,0.0
2020-01-31 09:30:00-05:00,95312.49137661458,95312.49137661458,0.0
2020-01-31 21:30:00-05:00,95312.49137661458,95312.49137661458,0.0
