time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-12-15 09:30:00-05:00,MLStrategy,7f7389afa0264a069d9f9000ac37e1d0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-12-15 09:30:00-05:00,MLStrategy,7f7389afa0264a069d9f9000ac37e1d0,SPY,buy,market,fill,1,gtc,0.0,1,stock,367.3999938964844,136.091455717573,0.0
2021-07-28 09:30:00-04:00,MLStrategy,6d679ee91bc446f0974983ced0b2198d,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-28 09:30:00-04:00,MLStrategy,d95490242e21418cb68b90d6a6ea0b30,SPY,sell,limit,fill,1,day,0.0,1,stock,440.87999267578124,136.091455717573,0.0
