time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-12-15 09:30:00-05:00,MLStrategy,3bc86871b712474192922eda48e29a01,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-12-15 09:30:00-05:00,MLStrategy,3bc86871b712474192922eda48e29a01,SPY,buy,market,fill,1,gtc,0.0,1,stock,367.3999938964844,136.091455717573,0.0
2021-07-28 09:30:00-04:00,MLStrategy,dbeb9ee340114d8ab2301a1b47615561,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-28 09:30:00-04:00,MLStrategy,5f1f9fe9ae694c66b8a4bdbf898ce6ef,SPY,sell,limit,fill,1,day,0.0,1,stock,440.87999267578124,136.091455717573,0.0
