time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-14 09:30:00-05:00,MLTrader,b9f1450e37e24022ba863e80bed59005,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,MLTrader,b9f1450e37e24022ba863e80bed59005,NVDA,buy,market,fill,1,gtc,0.0,1,stock,6.256499767303467,7992.0,0.0
2020-01-15 09:30:00-05:00,MLTrader,835ffeac2a374b43a3a63dc0001fc577,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-15 09:30:00-05:00,MLTrader,835ffeac2a374b43a3a63dc0001fc577,NVDA,buy,market,fill,1,gtc,0.0,1,stock,6.19474983215332,4036.0,0.0
2020-01-16 09:30:00-05:00,MLTrader,fdd3595ab7c54c598881e3330d4495f4,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-16 09:30:00-05:00,MLTrader,fdd3595ab7c54c598881e3330d4495f4,NVDA,buy,market,fill,1,gtc,0.0,1,stock,6.192999839782715,2018.0,0.0
2020-01-17 09:30:00-05:00,MLTrader,36e88b667141496db0e8c6dc2dfac528,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-17 09:30:00-05:00,MLTrader,36e88b667141496db0e8c6dc2dfac528,NVDA,buy,market,fill,1,gtc,0.0,1,stock,6.242499828338623,1001.0,0.0
2020-01-27 08:30:00-05:00,MLTrader,4b9f06cfa2a34181821acab49f50db89,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-27 08:30:00-05:00,MLTrader,1573051e02ff4bc5b6ae81ce085bb2f3,NVDA,sell,stop,fill,1,day,0.0,1,stock,5.943674778938293,7992.0,0.0
2020-01-27 08:30:00-05:00,MLTrader,0b31eaaaf10c4497b81920c1574e9b06,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-27 08:30:00-05:00,MLTrader,452babb31f6b4825951993c88e26a0b5,NVDA,sell,stop,fill,1,day,0.0,1,stock,5.885012340545654,4036.0,0.0
2020-01-27 08:30:00-05:00,MLTrader,518d240f7c1a4bb4b0d5d890335cbab1,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-27 08:30:00-05:00,MLTrader,b6ce183114d048abab1623c939d0f4a4,NVDA,sell,stop,fill,1,day,0.0,1,stock,5.883349847793578,2018.0,0.0
2020-01-27 08:30:00-05:00,MLTrader,21f5d24269cc4b10836326a48d642d2a,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-27 08:30:00-05:00,MLTrader,32a4b1c5df3a40c3b3e66dc7690a4f16,NVDA,sell,stop,fill,1,day,0.0,1,stock,5.9303748369216915,1001.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,e9f6a2056d7c4374850348562d7d1520,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,e9f6a2056d7c4374850348562d7d1520,NVDA,buy,market,fill,1,gtc,0.0,1,stock,6.755249977111816,7055.0,0.0
2020-02-18 09:30:00-05:00,MLTrader,a39ef2572e3c4e0bb064eaad766c4f39,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-18 09:30:00-05:00,MLTrader,a39ef2572e3c4e0bb064eaad766c4f39,NVDA,buy,market,fill,1,gtc,0.0,1,stock,7.140999794006348,3337.0,0.0
