time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-12-15 09:30:00-05:00,MLStrategy,944aa03995dd4d2fb4eb447d7c875942,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-12-15 09:30:00-05:00,MLStrategy,944aa03995dd4d2fb4eb447d7c875942,SPY,buy,market,fill,1,gtc,0.0,1,stock,367.3999938964844,10.0,0.0
