time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-14 09:30:00-05:00,MLTrader,ca0b4f9d502b49c7ab6d17b5a31942af,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,MLTrader,ca0b4f9d502b49c7ab6d17b5a31942af,NVDA,buy,market,fill,1,gtc,0.0,1,stock,6.256499767303467,7992.0,0.0
2020-01-15 09:30:00-05:00,MLTrader,ae90f7cd70a740c1989c85bae4281806,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-15 09:30:00-05:00,MLTrader,ae90f7cd70a740c1989c85bae4281806,NVDA,buy,market,fill,1,gtc,0.0,1,stock,6.19474983215332,4036.0,0.0
2020-01-16 09:30:00-05:00,MLTrader,5af34f2fa85248edb37906bb5e76a9ab,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-16 09:30:00-05:00,MLTrader,5af34f2fa85248edb37906bb5e76a9ab,NVDA,buy,market,fill,1,gtc,0.0,1,stock,6.192999839782715,2018.0,0.0
2020-01-17 09:30:00-05:00,MLTrader,48d0bcbb86074b2a82cfb602acecbd28,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-17 09:30:00-05:00,MLTrader,48d0bcbb86074b2a82cfb602acecbd28,NVDA,buy,market,fill,1,gtc,0.0,1,stock,6.242499828338623,1001.0,0.0
2020-01-27 08:30:00-05:00,MLTrader,3ab5b253f3044effb1a5df9f7e188a22,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-27 08:30:00-05:00,MLTrader,f3a5636f4bba45388ba090ce73956fa6,NVDA,sell,stop,fill,1,day,0.0,1,stock,5.943674778938293,7992.0,0.0
2020-01-27 08:30:00-05:00,MLTrader,9476dbbf3ae64f93ad76edbeb00c8bfc,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-27 08:30:00-05:00,MLTrader,8218b786a2414524826e6457fa565847,NVDA,sell,stop,fill,1,day,0.0,1,stock,5.885012340545654,4036.0,0.0
2020-01-27 08:30:00-05:00,MLTrader,29db47b2dbf244389485c90a8ab082e8,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-27 08:30:00-05:00,MLTrader,3363847913c148419394f16d99756df3,NVDA,sell,stop,fill,1,day,0.0,1,stock,5.883349847793578,2018.0,0.0
2020-01-27 08:30:00-05:00,MLTrader,2ac3e664e71f4045a7ea7dff988bf34b,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-27 08:30:00-05:00,MLTrader,665c41c7caf04b12ab90e00a9d7d1d23,NVDA,sell,stop,fill,1,day,0.0,1,stock,5.9303748369216915,1001.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,49d0af36a4e54754883aeb62d86d7582,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,49d0af36a4e54754883aeb62d86d7582,NVDA,buy,market,fill,1,gtc,0.0,1,stock,6.755249977111816,7055.0,0.0
2020-02-18 09:30:00-05:00,MLTrader,70dfb9d5a4c640e0b3d30dd94cfadfa0,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-18 09:30:00-05:00,MLTrader,70dfb9d5a4c640e0b3d30dd94cfadfa0,NVDA,buy,market,fill,1,gtc,0.0,1,stock,7.140999794006348,3337.0,0.0
2020-02-24 08:30:00-05:00,MLTrader,c2b81a03e8af4886bea7545b7f559afa,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-24 08:30:00-05:00,MLTrader,f30271979f14488e9bdc7dc07fd8263b,NVDA,sell,stop,fill,1,day,0.0,1,stock,6.754749774932861,3337.0,0.0
2020-02-27 08:30:00-05:00,MLTrader,8fa8677dc5ad4455bd1f414e114e63be,NVDA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 08:30:00-05:00,MLTrader,54c3519557dc4d9a88562c0c4e40c51a,NVDA,sell,stop,fill,1,day,0.0,1,stock,6.372499942779541,7055.0,0.0
2020-05-26 09:30:00-04:00,MLTrader,154979fdc7dc4b50bfeb885b03856682,NVDA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-05-26 09:30:00-04:00,MLTrader,154979fdc7dc4b50bfeb885b03856682,NVDA,buy,market,fill,1,gtc,0.0,1,stock,8.625,5294.0,0.0
